example_id                                                           | status | run_time        |
-------------------------------------------------------------------- | ------ | --------------- |
./spec/cli/command_parser_spec.rb[1:1:1]                             | passed | 0.00756 seconds |
./spec/cli/command_parser_spec.rb[1:1:2]                             | passed | 0.00034 seconds |
./spec/cli/command_parser_spec.rb[1:1:3]                             | passed | 0.00026 seconds |
./spec/cli/command_parser_spec.rb[1:1:4]                             | passed | 0.00028 seconds |
./spec/cli/command_parser_spec.rb[1:1:5]                             | passed | 0.00033 seconds |
./spec/cli/command_spec.rb[1:1:1]                                    | passed | 0.00139 seconds |
./spec/cli/command_spec.rb[1:1:2]                                    | passed | 0.0006 seconds  |
./spec/cli/command_spec.rb[1:1:3]                                    | passed | 0.00094 seconds |
./spec/cli/config_spec.rb[1:1:1]                                     | passed | 0.01063 seconds |
./spec/cli/config_spec.rb[1:2:1]                                     | passed | 0.0013 seconds  |
./spec/cli/config_spec.rb[1:3:1]                                     | passed | 0.00099 seconds |
./spec/cli/config_spec.rb[1:3:2]                                     | passed | 0.00101 seconds |
./spec/cli/config_spec.rb[1:3:3]                                     | passed | 0.00172 seconds |
./spec/cli/config_spec.rb[1:3:4]                                     | passed | 0.00101 seconds |
./spec/cli/config_spec.rb[1:3:5]                                     | passed | 0.00127 seconds |
./spec/cli/config_spec.rb[1:3:6]                                     | passed | 0.00105 seconds |
./spec/cli/config_spec.rb[1:3:7]                                     | passed | 0.00099 seconds |
./spec/cli/config_spec.rb[1:3:8]                                     | passed | 0.0012 seconds  |
./spec/cli/config_spec.rb[1:3:9]                                     | passed | 0.0026 seconds  |
./spec/cli/config_spec.rb[1:3:10]                                    | passed | 0.00183 seconds |
./spec/cli/config_spec.rb[1:4:1]                                     | passed | 0.00126 seconds |
./spec/cli/config_spec.rb[1:4:2]                                     | passed | 0.00123 seconds |
./spec/cli/config_spec.rb[1:4:3]                                     | passed | 0.00142 seconds |
./spec/cli/config_spec.rb[1:4:4]                                     | passed | 0.00148 seconds |
./spec/cli/config_spec.rb[1:4:5]                                     | passed | 0.0014 seconds  |
./spec/cli/config_spec.rb[1:4:6]                                     | passed | 0.00147 seconds |
./spec/cli/config_spec.rb[1:4:7]                                     | passed | 0.00119 seconds |
./spec/cli/config_spec.rb[1:4:8]                                     | passed | 0.00124 seconds |
./spec/cli/config_spec.rb[1:4:9]                                     | passed | 0.00133 seconds |
./spec/cli/config_spec.rb[1:4:10]                                    | passed | 0.00122 seconds |
./spec/cli/diff_spec.rb[1:1:1]                                       | passed | 0.00131 seconds |
./spec/cli/diff_spec.rb[1:2:1]                                       | passed | 0.02338 seconds |
./spec/cli/diff_spec.rb[1:2:2]                                       | passed | 0.00837 seconds |
./spec/cli/diff_spec.rb[1:2:3]                                       | passed | 0.02073 seconds |
./spec/cli/diff_spec.rb[1:2:4]                                       | passed | 0.00965 seconds |
./spec/cli/diff_spec.rb[1:2:5]                                       | passed | 0.01006 seconds |
./spec/cli/diff_spec.rb[1:2:6]                                       | passed | 0.0124 seconds  |
./spec/cli/diff_spec.rb[1:3:1]                                       | passed | 0.01886 seconds |
./spec/cli/diff_spec.rb[1:3:2]                                       | passed | 0.00226 seconds |
./spec/cli/diff_spec.rb[1:3:3]                                       | passed | 0.00326 seconds |
./spec/cli/diff_spec.rb[1:3:4]                                       | passed | 0.00241 seconds |
./spec/cli/diff_spec.rb[1:3:5]                                       | passed | 0.00263 seconds |
./spec/cli/diff_spec.rb[1:3:6]                                       | passed | 0.00159 seconds |
./spec/cli/display_spec.rb[1:1]                                      | passed | 0.02085 seconds |
./spec/cli/display_spec.rb[1:2]                                      | passed | 0.05721 seconds |
./spec/cli/display_spec.rb[1:3]                                      | passed | 0.02326 seconds |
./spec/cli/gems_spec.rb[1:1:1]                                       | passed | 0.00219 seconds |
./spec/cli/gems_spec.rb[1:1:2]                                       | passed | 0.00148 seconds |
./spec/cli/gems_spec.rb[1:1:3]                                       | passed | 0.00177 seconds |
./spec/cli/gems_spec.rb[1:1:4]                                       | passed | 0.00148 seconds |
./spec/cli/gems_spec.rb[1:1:5]                                       | passed | 0.00158 seconds |
./spec/cli/gems_spec.rb[1:1:6]                                       | passed | 0.0011 seconds  |
./spec/cli/gems_spec.rb[1:1:7]                                       | passed | 0.00192 seconds |
./spec/cli/graph_spec.rb[1:1]                                        | passed | 0.00882 seconds |
./spec/cli/graph_spec.rb[1:2]                                        | passed | 0.00368 seconds |
./spec/cli/help_spec.rb[1:1:1]                                       | passed | 0.00036 seconds |
./spec/cli/help_spec.rb[1:1:2]                                       | passed | 0.00031 seconds |
./spec/cli/help_spec.rb[1:1:3]                                       | passed | 0.00044 seconds |
./spec/cli/i18n_spec.rb[1:1:1]                                       | passed | 0.02715 seconds |
./spec/cli/i18n_spec.rb[1:1:2]                                       | passed | 0.01538 seconds |
./spec/cli/i18n_spec.rb[1:2:1]                                       | passed | 0.02201 seconds |
./spec/cli/i18n_spec.rb[1:2:2]                                       | passed | 0.01218 seconds |
./spec/cli/i18n_spec.rb[1:2:3]                                       | passed | 0.01426 seconds |
./spec/cli/i18n_spec.rb[1:2:4]                                       | passed | 0.01285 seconds |
./spec/cli/i18n_spec.rb[1:3:1]                                       | passed | 0.01624 seconds |
./spec/cli/i18n_spec.rb[1:4:1]                                       | passed | 0.00066 seconds |
./spec/cli/i18n_spec.rb[1:4:2]                                       | passed | 0.00059 seconds |
./spec/cli/i18n_spec.rb[1:4:3]                                       | passed | 0.00093 seconds |
./spec/cli/list_spec.rb[1:1]                                         | passed | 0.00029 seconds |
./spec/cli/markup_types_spec.rb[1:1]                                 | passed | 0.00125 seconds |
./spec/cli/server_spec.rb[1:1:1]                                     | passed | 0.00364 seconds |
./spec/cli/server_spec.rb[1:1:2]                                     | passed | 0.00256 seconds |
./spec/cli/server_spec.rb[1:1:3]                                     | passed | 0.00263 seconds |
./spec/cli/server_spec.rb[1:2:1]                                     | passed | 0.00231 seconds |
./spec/cli/server_spec.rb[1:2:2]                                     | passed | 0.00226 seconds |
./spec/cli/server_spec.rb[1:2:3]                                     | passed | 0.00293 seconds |
./spec/cli/server_spec.rb[1:2:4]                                     | passed | 0.00254 seconds |
./spec/cli/server_spec.rb[1:3:1]                                     | passed | 0.01031 seconds |
./spec/cli/server_spec.rb[1:3:2]                                     | passed | 0.00642 seconds |
./spec/cli/server_spec.rb[1:3:3]                                     | passed | 0.00392 seconds |
./spec/cli/server_spec.rb[1:3:4]                                     | passed | 0.00381 seconds |
./spec/cli/server_spec.rb[1:3:5]                                     | passed | 0.00371 seconds |
./spec/cli/server_spec.rb[1:3:6]                                     | passed | 0.00463 seconds |
./spec/cli/server_spec.rb[1:3:7]                                     | passed | 0.01329 seconds |
./spec/cli/server_spec.rb[1:3:8]                                     | passed | 0.00423 seconds |
./spec/cli/server_spec.rb[1:3:9]                                     | passed | 0.00251 seconds |
./spec/cli/server_spec.rb[1:3:10]                                    | passed | 0.00235 seconds |
./spec/cli/server_spec.rb[1:3:11]                                    | passed | 0.00293 seconds |
./spec/cli/server_spec.rb[1:3:12]                                    | passed | 0.00078 seconds |
./spec/cli/server_spec.rb[1:3:13]                                    | passed | 0.00069 seconds |
./spec/cli/server_spec.rb[1:3:14]                                    | passed | 0.00466 seconds |
./spec/cli/server_spec.rb[1:3:15]                                    | passed | 0.00471 seconds |
./spec/cli/server_spec.rb[1:3:16]                                    | passed | 0.00798 seconds |
./spec/cli/server_spec.rb[1:3:17]                                    | passed | 0.00317 seconds |
./spec/cli/server_spec.rb[1:3:18]                                    | passed | 0.00305 seconds |
./spec/cli/server_spec.rb[1:3:19]                                    | passed | 0.00218 seconds |
./spec/cli/server_spec.rb[1:3:20]                                    | passed | 0.00367 seconds |
./spec/cli/stats_spec.rb[1:1]                                        | passed | 0.02266 seconds |
./spec/cli/stats_spec.rb[1:2]                                        | passed | 0.02785 seconds |
./spec/cli/stats_spec.rb[1:3]                                        | passed | 0.02058 seconds |
./spec/cli/stats_spec.rb[1:4]                                        | passed | 0.01909 seconds |
./spec/cli/stats_spec.rb[1:5]                                        | passed | 0.01903 seconds |
./spec/cli/yardoc_spec.rb[1:1:1]                                     | passed | 0.01599 seconds |
./spec/cli/yardoc_spec.rb[1:1:2]                                     | passed | 0.01814 seconds |
./spec/cli/yardoc_spec.rb[1:1:3]                                     | passed | 0.01774 seconds |
./spec/cli/yardoc_spec.rb[1:1:4]                                     | passed | 0.02186 seconds |
